d,min_m_init
3,0.36851561319030945
4,0.24822785157809718
5,0.26130567380369524
6,0.20552984323781487
7,0.21286887881875605
8,0.1791473031104045
9,0.18399064595667353
10,0.16082659269887592
11,0.1643256900209315
12,0.1471634848007813
13,0.14984265027942686
15,0.13860886180276089
16,0.12781451461821508
17,0.1295688382379257
19,0.12209153481146835
20,0.1145121898781671
21,0.11577360337152914
23,0.11034371633408915
24,0.10464910734896059
25,0.10561181160652137
27,0.10144021272609956
28,0.0969607667311725
29,0.09772650306499948
31,0.09439264726221512
32,0.09075022946339681
33,0.09137805911452122
35,0.0886348639083201
36,0.08559777173419514
37,0.08612463869194824
39,0.08381620110764584
40,0.08123355614917349
41,0.0816838895199938
43,0.07970640172165518
44,0.07747517436868323
45,0.0778658625785756
47,0.07614717346729294
48,0.07419433032976153
49,0.07453746018682324
51,0.07302567262065814
52,0.07129777226123375
53,0.07160227388407571
55,0.07025896939642232
56,0.06871591990321607
57,0.06898853170835301
99,0.05211102509142397
149,0.04238880956243748
199,0.036636902288720255
249,0.03271842896988844
